,Topic,Count,Name,Representation,KeyBERT,Llama2,MMR,Representative_Docs
0,-1,40597,-1_the_of_to_and,"['the', 'of', 'to', 'and', 'for', 'in', 'is', 'an', 'or', 'with']","['an', 'from', 'has', 'member', 'layer', 'as', 'at', 'containing', 'the', 'each']","['Mechanical Engineering', '', '', '', '', '', '', '', '', '']","['the', 'of', 'to', 'and', 'for', 'in', 'is', 'an', 'or', 'with']","['An actuator device controlling the shape of a flexible surface having a quasi-continuum in\na plurality of locations. The device includes a plurality of individual cells arranged\nin an array for contact with the flexible surface. The cells comprise a cell body\nhaving an upper film portion and a lower film portion and an open central portion.\nThe upper film portion is in contact with the flexible surface. A post is mounted\nin the open central portion and fixedly attached to the upper film portion and\nthe lower film portion, the post defining a vertical axis of movement. The upper\nand lower film portions have electrodes mounted thereon respectively, positioned\non the face of the upper and lower film portions and facing each other. A central\ndiaphragm has electrodes on its outer surfaces and an open central portion surrounding\nthe post. A power supply operably connected to the electrodes for causing selective\ncooperative electrostatic activation between them to move the post along the\nvertical axis to cause the upper film portion to move that portion of the flexible\nsurface in which the upper film portion is in contact. In a preferred embodiment,\nthe cell body has a circular cross section so that the post moves vertically upward\nand downward to raise or lower the portion of the flexible surface in contact with\nthe upper film portion upon application of electrostatic potential between the\nelectrodes.', 'A purge plug which is adapted to be replaceably attached to the bottom (3) of a metallurgical\nvessel (1) for purging gas (21) through a heat (2) in the vessel. The purge plug\ncomprises an external, essentially sleeve-shaped body portion (9) and an internal,\ntruncated conical body portion (11) of ceramic material. Between these a gap\n(12) is arranged which extends between the end faces (14, 15 and 16, 17) of the body\nand a casing (7) encloses the body. The internal body portion (11) is movable in\nrelation to the external body portion (9) and biased by a resilient bottom plate\n(18) in a direction towards the heat (2) to close the gap (12). The gas is fed to the\nexternal end face (14, 15) of the body in order to, at a predetermined pressure,\nflow through the gap (12) to the internal end face (16, 17) of the body and into the\nheat (2). The bottom plate (18) is formed in one piece and comprises an essentially\nflat, central portion (23) which is attached to the internal body portion (11),\na peripheral portion (24) which is attached to the casing (7) and an intermediate,\nbent portion (25). The central portion (23) and the peripheral portion (24) are\nessentially parallel to the external end face (14, 15). The intermediate portion\n(25) is defined by an internal border area (26) and an external border area (27)\nwhich smoothly pass into the central portion (23) and into the peripheral portion\n(24), respectively.', 'A structural element (10) comprising a first member (12) and a second\nmember (14) interengaged with one another. Each member (12, 14) has an\ninner layer (16, 18) formed from a machinable material and having a substantially\nsmooth outer surface (24, 26), and an outer layer (28, 30) having a substantially smooth\ninner surface (32, 34) of a shape generally complementary to the shape of\nthe outer surface (24, 26) of the inner layer (16, 18). The inner (16, 18)\nand outer (28, 30) layers are joined together such that the outer surface (24,\n26) of the inner layer (16, 18) and the inner surface (32, 34) of the outer\nlayer (28, 30) are in substantially continuous, face to face engagement\nwith each other. The inner layer (16) of the first member (12) has a first\nformation (50) machined therein. The structural element (10) further comprises\nan element (52) for interconnecting the first formation (50) of the first\nmember (12) with the second member (14) thereby to form the structural element\n(10).']"
1,0,1466,0_c1_alkyl_substituted_formula,"['c1', 'alkyl', 'substituted', 'formula', 'compounds', 'hydrogen', 'r1', 'r2', 'group', 'aryl']","['heterocyclic', 'substituents', 'heteroaryl', 'compounds', 'compound', 'derivatives', 'phenyl', 'r1', 'formula', 'c2']","['""Compounds with Substituted Alkyl Groups""', '', '', '', '', '', '', '', '', '']","['c1', 'alkyl', 'substituted', 'formula', 'compounds', 'hydrogen', 'r1', 'r2', 'group', 'aryl']","['Disclosed are compounds useful in treating psychotic disorders such\nas schizophrenia and other central nervous system diseases, where the\ncompounds have general Formula (I), wherein: Ar represents an aryl or\nheteroaryl group; R1 and R2 independently represent\nhydrogen, halogen, C1 C6 alkyl, C1 C4\nalkoxy, C1 C4 alkylthio, hydroxy, amino, mono\nor di(C1 C6)alkyl amino, cyano or trifluoromethyl;\nand R5 represents hydrogen or C1 C6 alkyl.', 'The invention provides compounds of formula (I), wherein R1\nand R2 independently represent H or C1 6 alkyl;\nR3 represents phenyl substituted by at least one group selected\nform halo, CF3, OCF3, CN, OH, C1 6 alkyl\nand C1 6 alkoxy; and R4, R5 and R11\nindependently represent H or  (CH2)n A,\nwherein n represents 0, 1 or 2, provided that at least one of R4,\nR5 and R11 is other than H; A represents CONR6R7\nor SO2NR6R7, wherein R6 and R7\nindependently represent H, C3 6 cycloalkyl or C1 6\nalkyl, the C1 6 alkyl group being optionally substituted,\nin addition, R6 and R7 may, together with the N atom\nto which they are attached, represent a ring which is optionally substituted;\nCO2R8, wherein R8 represents H or C1 6\nalkyl; NR9R10, wherein R9 and R10\nindependently represent H, C1 6 alkyl (optionally substituted),\n(C1 6 alkyl)SO2 , (C1 6 alkyl)CO ,\nH2NSO2  or H2NCO ; a 5  or\n6 membered heterocyclic ring containing 1, 2 or 3 heteroatoms selected\nfrom N, S and O, which is optionally substituted; S(O)x(C1 6\nalkyl), wherein x represents 0, 1 or 2; OH; CN, NO2; or C1 6\nalkoxy which is optionally substituted; provided that when NR1R2\nrepresents N(H) methyl, R4 represents H and R3 represents\n4  chlorophenyl, then R5 does not represent methoxy; and\npharmaceutically acceptable salts thereof. The compounds of the invention\nare useful in the treatment or prevention of a variety of disorders, including\nthose in which the regulation of monoamine transporter function is implicated.', 'A compound represented by formula (I) or its salt wherein X, Y are\nindependently hydrogen, halogen, cyano, nitro, or (C1 6)haloalkyl;\nZ is oxygen or sulfur; Q is selected from Q1 to Q9;\nR1 is halogen; R2, R3, R4 and R5\nare independently hydrogen, (C1 6)alkyl, or (C1 6)haloalkyl.\nWhen R3 and R5 are taken together with the atoms to\nwhich they are attached, they represent a four to seven membered substituted\nor unsubstituted ring optionally interrupted by O, S(O)n or N R4,\nand optionally substituted with one to three (C1 6)alkyl\ngroup or one or more halogen atoms; R6 is hydrogen, (C1 6)alkyl,\n(C2 6)alkenyl, (C2 6)alkynyl, (C2 6)haloalkyl,\n(C2 6)haloalkenyl, (C2 6)haloalkynyl, (C1 6)cyanoalkyl,\n(C1 6)alkoxy (C1 6)alkyl, or (C1 6)alkylthio (C1 6)alkyl;\nA1 and A2 are independently oxygen or sulfur; B is CH\nor N; R7 and R8 are each independently hydrogen, (C1 6)alkyl\noptionally substituted with one or more halogen atoms, or (C3 C6)cycloalkyl\noptionally substituted with one or more halogen atoms, and when R7\nand R8 are taken together with the atoms to which they are attached,\nthey represent a four to seven membered substituted or unsubstituted ring\noptionally interrupted by O, S(O)n or N R4, and\noptionally substituted with one to three (C1 6)alkyl group\nor one or more halogen atoms; n is an integer of 0, 1 or 2; R9\nand R10 are hydrogen, (C1 6)alkyl, acyl, or (C1 6)alkylsulfonyl\nor R9 and R10 may form a ring consisting of polymethylene,\n(CH2)m groups, where m is an integer of 2, 3, 4 or 5,\ntogether with the nitrogen atom of NR9R10, which may\nor may not have a (C1 6)alkyl substituent. Ar is a substituted\nor unsubstituted aryl or heteroaryl ring; when Q is Q3 or Q6\nsubstituted phenyl is excluded. The compound is useful in the control of\nweeds.']"
2,1,1024,1_ink_printing_print_printhead,"['ink', 'printing', 'print', 'printhead', 'printer', 'toner', 'image', 'jet', 'printed', 'substrate']","['inkjet', 'inks', 'printed', 'printing', 'printhead', 'ink', 'print', 'printable', 'printer', 'lithographic']","['Printing Technology', '', '', '', '', '', '', '', '', '']","['ink', 'printing', 'print', 'printhead', 'printer', 'toner', 'image', 'jet', 'printed', 'substrate']","['The present invention provides a jet ink composition comprising a volatile organic\nsolvent, an oil, one or more binder resins which are soluble in the volatile\norganic solvent, and a colorant. The ink composition is fast drying and\nprovides excellent adhesion to non porous substrates. Printers, such\nas drop on demand ink jet printers, employing the ink composition can\noperate without nozzle clogging even after long non printing intervals. The\npresent invention further provides a method for reducing clogging of a nozzle\norifice in an ink jet printer comprising printing with an ink composition that\nincludes an oil that forms a continuous oil phase which acts as the boundary layer\nbetween the air outside the nozzle orifice and the ink inside the nozzle during\nnon printing intervals. The present invention further provides a\nprocess for jet ink printing onto a substrate comprising projecting a\nstream of ink droplets of the ink composition of the present invention\nto the substrate and controlling the direction of the droplets so that\nthe droplets form the desired printed image on the substrate.', 'The present invention is an ink container for use in an ink jet printing\nsystem. The printing system has a printhead under control of printing\nsystem electronics and an ink container receiving station for providing\nink to the printhead. The replaceable ink container includes a plurality\nof container interfacing features positioned on the ink container to engage\ncorresponding ink container receiving station interfacing features. The\nink container interfacing features are disposed and arranged to allow\na plurality of different sizes of the ink container to be installed at\na particular location of the receiving station. The ink container also\nincludes an information storage device that provides information indicative\nof a volume of ink contained in said ink container.', 'An ink jet printer (10) is provided comprising a housing (30), an ink\njet printing apparatus (20) and a coating apparatus (60). The ink jet\nprinting apparatus (20) is located within the housing (30) and includes\nsan ink jet printing device (22) capable of ejecting ink droplets onto\na first side of a printing substrate (12) which moves through the housing\n(30) along a printing substrate feed path. The coating apparatus is positioned\nalong the printing substrate feed path and spaced from the printing device\n(22). The coating apparatus (60) applies a substantially uniform layer\nof coating material onto at least a portion of the first side of the printing\nsubstrate (12).']"
3,2,877,2_network_mobile_call_service,"['network', 'mobile', 'call', 'service', 'message', 'subscriber', 'station', 'node', 'packet', 'communication']","['networks', 'telecommunication', 'telecommunications', 'network', 'transmitting', 'communications', 'signalling', 'cellular', 'transmit', 'communication']","['Telecommunications infrastructure and services', '', '', '', '', '', '', '', '', '']","['network', 'mobile', 'call', 'service', 'message', 'subscriber', 'station', 'node', 'packet', 'communication']","['The invention is related to a base station for a cellular network,\nthe base station being connected via the radio path to the mobile stations\n(MS) in the area of a cell formed by the base station and via a transmission\nnetwork to the means controlling the base station (MSC). The base station\ncomprises (a) a first group of units forming a physical interface for\nthe transmission network and a radio interface for the mobile stations\n(MS), and (b) an internal bus system, which comprises several buses into\nwhich the units are connected and by means of which the units are connected\nto each other. In order to efficiently provide other telecommunications\nservices, the base station has a second group of units, which forms at\nleast one interface for other external devices, and the base station is\nequipped with an internal cross connection for switching traffic\nat least between the external devices and the transmission network.', 'The present invention relates to a system and method of communicating\noperating capabilities in a telecommunication network or networks. The\npresent invention stems from the realisation that mobile telecommunication\nnetwork resources can be utilised with greater efficiency by maintaining\nmobile station attributes or operating capabilities at a network node\nassociated with the mobile station. Preferably, the network node is a\nVisitor Location Register (VLR). Additionally, the network node may be\na Home Location Register (HLR), a Mobile Switching Centre (MSC) or a Gateway\nMobile Switching Centre (GMSC). In particular, the invention may provide\nthe creation of a list of operating capabilities at a network node upstream\nfrom the mobile station. Having done this, a comparison of this list with\nanother list received from a remote telecommunication element to negotiate operating\ncapabilities at a call set up is achieved without involving communication resources\nbetween the mobile station and the network node.', 'This invention relates to a method for updating subscriber identifier information in\na first mobile communication network, in which a mobile station of the network can\nincorporate one or more subscriber identifiers, and which subscriber identifiers have\na common subscriber identifier. According to the method, when a connection is\nestablished between the mobile station and the second telecommunication network,\nat least the information of the common subscriber identifier of the first mobile\ncommunication network is updated from the network element that connects said\nnetworks. The invention also relates to a network element for updating subscriber\nidentifier information in a mobile communication network. The network element\naccording to the invention comprises first means (801) for transmitting and\nidentifying signals, second means (802) for transmitting an identification request,\nthird means (803) for processing identification information and fourth means\n(804) for transmitting an updating message. The invention also relates to a telecommunication\nsystem.']"
4,3,631,3_optical_fiber_wavelength_waveguide,"['optical', 'fiber', 'wavelength', 'waveguide', 'laser', 'optic', 'light', 'grating', 'gain', 'dispersion']","['optoelectronic', 'optically', 'multiplexing', 'optical', 'wavelengths', 'waveguides', 'optic', 'wavelength', 'multiplexed', 'an']","['Optical Communication Technologies', '', '', '', '', '', '', '', '', '']","['optical', 'fiber', 'wavelength', 'waveguide', 'laser', 'optic', 'light', 'grating', 'gain', 'dispersion']","['An optical networking unit includes a plurality of optical components mounted\non a substrate (12) transparent to radiation in a frequency range. At least one\nof the optical components is secured to the substrate by a curable bonding material\nof a type curable in response to exposure to radiation in said frequency range.\nOne optical component preferably comprises an optical fiber (20) secured to\nan optical fiber holder holding the optical fiber and secured to the substrate.\nAn active optical component (24) is optically aligned with the optical fiber\nand is secured to an active optical component holder holding the active optical\ncomponent and secured to the substrate (12).', 'An optical device (1) for multiplexing/demultiplexing optical wavelength signals comprises arrayed waveguide grating devices (2, 5). To one thereof an optical signal, e.g. one of the optical wavelength signals or an optical signal from a reference source, is input so that its corresponding output signal can be used as a temperature control signal for a temperature control means (7) of the waveguide device. Thus optimization for one optical wavelength signal automatically leads to optimization of all other optical wavelength signals.', 'A system and method for the automated alignment and assembly of a first end of an optical fiber to an optical module includes a second optical module generally adjacent a second end of the optical fiber and connected to a computer. The computer monitors the optical transmission between the two modules through the optical fiber and controls movement of the first end of the optical fiber to optimize the position of the first end of the optical fiber relative to the first optical module.']"
5,4,572,4_yarn_fabric_fibers_yarns,"['yarn', 'fabric', 'fibers', 'yarns', 'fiber', 'nonwoven', 'composite', 'warp', 'fabrics', 'woven']","['woven', 'textile', 'weaving', 'fabric', 'fabrics', 'knitted', 'fibers', 'yarns', 'yarn', 'fibres']","['Advanced Textiles', '', '', '', '', '', '', '', '', '']","['yarn', 'fabric', 'fibers', 'yarns', 'fiber', 'nonwoven', 'composite', 'warp', 'fabrics', 'woven']","['A machine, Figure 1, that uses modified air jet technology (8) for\nweft (2) insertion, knitting needles (4) for Z yarn (3) insertion and\n""closers"" (6) to close the warp (1) sheds before the beat reed (9) compacts\n(M5) the yarns to produce three dimensional fabric (10) in flat,\nwide panels at high speed. The fabric is characterized by a pattern, Figures\n3A, 3B, consisting of the conventional multiple rows of X yarns (1), Y\nyarns (2), and Z yarns (3) yarns orthogonal at 90° to each other but\nwhich has each Z yarn loop diagonally over both a warp and a weft yarn\nalternately at +45° and  45° at both the top (11, 12) and\nbottom (13) edges of the fabric. The diagonal loops permit the fabric\nto be made with either an equal number of rows of warp and weft yarns,\nFigure 2, or one or more row of warp than weft yarns, Figure 3A, or one\nless row of warp than weft yarns, Figure 3B, and also have its right and\nleft edges bound by Z yarns.', 'The present disclosure describes puncture-resistant fabric layers comprising\nwoven fabrics with unique, densely-woven structures. For example, such a fabric\nlayer ca comprise a high cover factor woven fabric having a fill yarn cover factor\nof at least about 75 % of full and a warp yarn cover factor of at least about 100 % of\nfull formed of a plurality of fill yarns and a plurality of warp yarns, wherein\nthe weight per unit length of the fill yarns is less than the weight per unit length\nof the warp yarns. Such constructions can, in some embodiments, consist essentially\nof high tenacity fibers having a tensile breaking strength of at least about 10g/Denier.\nSuch high cover, small fill yarn constructions enable the disclosed fabrics\nto be woven to have a decreased overall weight per unit surface area and an improved\ntensile balance, when compared to known high cover factor, densely woven fabric\nconstructions. Also disclosed are various techniques for forming light weight\nyarns comprising or consisting essentially of high tenacity fibers for forming\nthe small fill yarns and/or warp yarns of the high cover factor, small fill yarn-constructed\nfabrics disclosed. The high cover factor, small fill yarn-constructed woven\nfabrics can, in some embodiments, comprise or consist essentially of natural\nand/or synthetic fibers having a tensile breaking strength less than about 10\ng/Denier, yielding densely woven fabrics with improved puncture, cut, and tear\nresistance when compared to fabrics formed of the same materials but with conventional\nwoven constructions.', 'The outer shell fabric according to the invention is made of a textile material which is a double-weave woven fabric or a warp-knit knitted fabric constructed in such a manner that preferably a majority of one yarn type is placed on the face of the fabric and the majority of a different yarn type is placed on the back surface. The textile material can be visualized as two separate fabrics being interlaced together by the sharing of yarns between them.']"
6,5,521,5_gear_clutch_shaft_pulley,"['gear', 'clutch', 'shaft', 'pulley', 'transmission', 'drive', 'gears', 'belt', 'torque', 'planetary']","['gears', 'transmission', 'gearbox', 'driven', 'drive', 'coupling', 'clutch', 'axis', 'rotating', 'torque']","['Automotive Transmission Components', '', '', '', '', '', '', '', '', '']","['gear', 'clutch', 'shaft', 'pulley', 'transmission', 'drive', 'gears', 'belt', 'torque', 'planetary']","['A drive gear assembly is disclosed. The drive gear assembly includes\na drive gear (9) that is adapted to mesh with a driven gear (7), the drive\ngear and the driven gear each having an axis about which the gears can\nrotate. A self aligning bearing (23) supports one of the drive gear\nor the driven gear and allows it to rotate, typically with a rocking or\nwobbling motion, around a centre of the bearing so that the drive gear\ncan self align with respect to the driven gear or vice versa. At\nleast one flexible coupling (15) is coupled to the drive gear and, in\nuse of the drive gear assembly, is also coupled directly or indirectly\nto the drive shaft (5) of a motor (3) so that power from the motor can\nbe transferred to the driven gear. The flexible coupling or couplings\nallow the axis of the drive gear to be positioned out of alignment with\nthe axis of the drive shaft. An assembly (25, 27) supports the self aligning bearing\nand allows the self aligning bearing to be moved relative to the\naxis of the drive shaft.', 'Step gear box having an input shaft (1) which is connected to a drive\nunit, an output shaft (2) from which a gear changed rotation can be received,\nclutches (8-11) between said input and output shafts (1, 2), one\nor more reverse and forward drive gears (4-7), one displaceable gear\nshift sleeve (14) which is connected to the output shaft (2) for rotation\ntherewith and adapted for shifting of gear between the different gear\nstages (4-7), and a gear shift bar (21) for providing such gear shifting, and\nin which the gear box is formed with a reverse drive gear (4) comprising\ntwo cog wheels (8) which are directly co-operating with each other\nfor providing a reversing of the direction of rotation from the input\nshaft (1) to the output shaft (2), and one or more forward drive gear\nstages comprising freely rotatable cog wheels (9-11) which are connected\nin pairs to each other over a cog belt or a chain (12, 13), and in which\neach reverse and forward drive stage (4-7) is connected to the output\nshaft (2) over a free wheel clutch (18, 19), and in which the displaceable\nsleeve (14), at one end thereof, is formed with a grip ring (20) for acting\non each respective free wheel clutch (18, 19) for providing a force transmittance\nin one direction of rotation and a free wheel function in the opposite\ndirection of rotation.', 'A gear drive transmission comprising an output shaft (26) extending between\nfront and rear portions of a housing (12). At the central portion of the shaft,\nthere is a concentrically mounted drive gear section (24) engaging first and\nsecond ring gears (40, 42). A rotational and orbiting movement of the gear drive\nsection causes rotation of a rotatably mounted ring gear to drive the shaft. There\nis a feedback mechanism (22) positioning and controlling movement of the shaft.\nThe shaft can have a single output end or two output ends.']"
7,6,454,6_food_milk_fat_products,"['food', 'milk', 'fat', 'products', 'product', 'cheese', 'cereal', 'edible', 'potato', 'oil']","['foodstuffs', 'mixture', 'lipid', 'dairy', 'fat', 'oil', 'containing', 'fatty', 'acids', 'milk']","['Food Product Development and Composition', '', '', '', '', '', '', '', '', '']","['food', 'milk', 'fat', 'products', 'product', 'cheese', 'cereal', 'edible', 'potato', 'oil']","['A process and apparatus for the reduction of calories and fat content\nin ingestible products including food compounds, food ingredients, food\nsubstances (for human or animal application) chewing gum products, and\nconfectionery products. The invention utilizes a directed pressure treatment\nconsisting of high pressure shock waves, inducing a cavitation treatment\nin a targeted food compound, thereby resulting in a reduction in calories\nand a lowering of fat content. Processed foods incorporating such enhanced\nfood compounds likewise enjoy reduced fat and reduced calorie content.', 'A heat stable acid liquid or gelled food product having a low\nfat content contains less than 25.5 weight % fat and comprises at least\n2.0 weight % protein, at least 0.1 weight % low molecular weight carbohydrate\nand at least 0.1 weight % polysaccharide as a stabilizer, and fermenting\nmicroorganisms, the product having a pH which is lower than pH 5.0. The\nfood product is produced by mixing a polysaccharide in a water solution\nwith the protein, low molecular weight carbohydrate, and fat; adjusting\nthe mixture to a fat content of less than 25.5 weight % by using a fat,\nthe polysaccharide comprising at least 0.5 weight % of the final product;\nsubjecting the mixture to pasteurization with homogenization; chilling\nthe mixture to a temperature which is suitable fermentation; inoculating the\nmixture with living microorganisms, and performing fermentation at said temperature\nto a pH below 5.0; and aseptically filling the mixture into sterile containers.', 'Frozen dairy products are provided that have an overrun of about 200\n% and that are soft and scoopable at about 0 °F to about 5 °F.\nThe frozen dairy products comprise from about 10 % to about 13 % of milk\nsolids non fat, from about 4 % to about 16 % of milk fat, from about\n5 % to about 10 % of sucrose, from about 2 % to about 8 % of corn syrup\nhaving a DE of about 36, from about 4 % to about 12 % of dextrose, from\nabout 0 % to about 1.5 % of starch, and from about 0.2 % to about 1.0\n% of stabilizer, with the balance being water. The method of production\nfor the frozen dairy products comprises the steps of heating water to\na temperature from about 120 °F to about 130 °F, agitating the\nwater, adding to the heated water the sucrose, corn syrup, dextrose, starch,\nand stabilizer to form a first mixture, agitating the first mixture, adding\nthe milk fat and the milk solids non fat to the first mixture to\nform a final mixture, agitating the final mixture, pasteurizing and homogenizing\nthe final mixture, aerating the final mixture to an overrun of about 200\n%, extruding and packaging the final mixture, and hardening the final\nmixture at about  30 °F.']"
8,7,425,7_brake_braking_disc_friction,"['brake', 'braking', 'disc', 'friction', 'pedal', 'vehicle', 'brakes', 'wheel', 'hydraulic', 'caliper']","['brakes', 'brake', 'braking', 'caliper', 'actuator', 'rotor', 'axially', 'vehicle', 'axial', 'axle']","['Brake Technology', '', '', '', '', '', '', '', '', '']","['brake', 'braking', 'disc', 'friction', 'pedal', 'vehicle', 'brakes', 'wheel', 'hydraulic', 'caliper']","['A drum brake assembly (10) including a rotatable drum having a radially inner braking surface and a brake shoe (11) of single piece construction and of generally circular form mounted within the drum against a backing plate (12). The brake shoe (11) has a radially outer face (18) and a friction lining (16,17) mounted thereon in facing relationship to the radially inner braking surface. Actuating means (13) having actuated brake on and released brake off conditions and being operable in the actuated condition to diametrically expand the brake shoe (11) is provided. Positioning means (21) are also provided for positioning the brake shoe (11) within the drum when the actuating means (13) is in the brake off condition to provide for complete clearance between the outer face (18) of the friction lining (16, 17) and the inner braking surface of the drum. A grinding jig for grinding friction lining is also provided and a brake assembly having connecting means for connecting the brake shoe to the backing plate.', 'Method in brake apparatus of vehicles, which brake apparatus consists\nat least of a brake organ as well as a retardation piece, that has one\nor several brake surfaces (3). Impurities loosening during braking from\na brake apparatus having an essentially closed internal space, such as\na drum brake or like, and gathering into the brake apparatus, is being\ncollected by means of an electromagnetic collector (12). The invention\nrelates to a device in brake apparatus of vehicles functioning according\nto the method, also.', 'A backspin retarder for a shaft comprises a brake mechanism including\na stationary brake member and opposed brake members rotatable with the\nshaft and movable between braking position in which the movable brake\nmembers engage the stationary brake member and a non braking position\nin which the movable brake members are removed from the stationary brake\nmember and a brake control mechanism responsive to the direction of rotation\nof the shaft for disabling the brake mechanism when the shaft rotates\nin a forward direction and for enabling the brake mechanism when the shaft\nrotates in a reverse direction.']"
9,8,413,8_formula_compound_preparation_process,"['formula', 'compound', 'preparation', 'process', 'group', 'alkyl', 'acid', 'reacting', 'c1', 'substituted']","['enantiomerically', 'compounds', 'heterocyclic', 'compound', 'derivatives', 'formula', 'intermediates', 'derivative', 'phenyl', 'an']","['Synthesis of compounds for angiotensin II antagonists', '', '', '', '', '', '', '', '', '']","['formula', 'compound', 'preparation', 'process', 'group', 'alkyl', 'acid', 'reacting', 'c1', 'substituted']","['A process is provided for the preparation of compounds of Formula (1);\nwherein X1 and X2 are each independently H, Cl or F,\nprovided that at least one of X1 and X2 is Cl or F;\none of R1 and R2 is H and the other is OH; and R5\nis an unsubstituted alkyl, preferably a C1 6 alkyl, group.\nThe process comprises condensing a 2 chloroalkanoic acid with an\noptionally substituted benzyl alcohol to form a 2 (optionally substituted\nbenzyloxy) alkanoic acid, converting the condensation product to the corresponding\nacid chloride and then either reacting the acid chloride with a compound\nof Formula (2) in the presence of a source of copper (I) to give a compound\nof Formula (3) wherein one of R3 and R4 is H and the\nother is optionally substituted benzyloxy; or reacting the acid chloride\nwith a compound of the Formula (4): A    NH     B\nwherein A and B independently represent substituted alkyl, alkoxy, aryl\nor oxyaryl groups, or are linked to form a heterocyclic ring to form an\namide, and then reacting the amide with a compound of Formula (2) to give\na compound of Formula (3). The optionally substituted benzyl group from\nthe compound of Formula (3) can be removed by hydrogenation.', 'There is disclosed a process for preparing compounds of formula (I)\ncomprising reacting a compound of formula (II): R X H, under\nbasic conditions, with a compound of formula (III), wherein X is oxygen\nor sulfur; Y is alkyl, alkenyl, alkynyl or cycloalkyl, each of which may\nbe substituted, or is hydrogen; Z is as defined for Y or is an optionally\nsubstituted alkoxy or optionally substituted amino group; R is an organic\ngroup; and L is a leaving group. Novel compounds of formula (I) are also\ndisclosed.', 'Process for the preparation of compounds of formula (I) wherein R means\nhydrogen atom, or C1 6 alkyl group, or C7 12\naralkyl group or phenyl group, characterised in that: a) the compound of\nformula (III) is reacted with a compound of formula (IV) wherein X means halogen\natom or C1 5 alkoxy group or hydroxyl group and the resulting\ncompound of formula (II) is transformed in the presence of an oxidising\nagent in a reaction medium with pH above 7, into the compound of formula\n(I), or b) the compound of formula (III) is reacted with an anhydride\nof general formula (V) and the resulting compound of formula (II) transformed\nin the presence of an oxidising agent, in a reaction medium with pH above\n7, into the compound of formula (I), or c) a compound of formula (II)\nis transformed in the presence of an oxidising agent, in a reaction medium\nwith pH above 7, into the compound of formula (I), and if desired, the\nresulting compounds of formula (I), before or after isolation, are transformed\ninto acid addition salts, or the compounds of formula (I) are liberated\nfrom their acid addition salts. Thus a process for the preparation of\nintermediates useful in synthesis of angiotensin II antagonists is disclosed.']"
